date	route_id	route_name	vehicle_type	time_of_day	boarding_count	alighting_count	fare_collected	delay_minutes	weather_condition	day_type
01-10-2023	R101	Central-Downtown	Bus	Evening	200	184	395.7	0.3	Clear	Weekend
01-10-2023	R102	Suburb Express	Bus	Midday	85	74	177.5	0	Foggy	Weekend
01-10-2023	R103	University Loop	Light Rail	Evening	195	174	441	0.3	Clear	Weekend
01-10-2023	R104	Airport Shuttle	Bus	Evening	134	106	261.7	1.3	Stormy	Weekend
01-10-2023	R105	Waterfront Line	Light Rail	Evening	153	140	416.3	0.2	Clear	Weekend
01-10-2023	R106	Night Owl	Bus	Midday	184	163	367.6	1.2	Clear	Weekend
01-10-2023	R107	East-West Connector	Bus	Evening	67	48	135.8	0.9	Clear	Weekend
02-10-2023	R101	Central-Downtown	Bus	Morning Peak	116	91	224	0.4	Clear	Weekday
02-10-2023	R102	Suburb Express	Light Rail	Off-Peak	94	81	225.4	0	Clear	Weekday
02-10-2023	R103	University Loop	Bus	Morning Peak	97	77	182.3	3.1	Rainy	Weekday
02-10-2023	R104	Airport Shuttle	Metro	Off-Peak	76	63	233.6	0	Clear	Weekday
02-10-2023	R105	Waterfront Line	Bus	Morning Peak	185	173	367.9	0.6	Clear	Weekday
02-10-2023	R106	Night Owl	Metro	Evening Peak	124	106	387.7	0.3	Clear	Weekday
02-10-2023	R107	East-West Connector	Bus	Off-Peak	84	75	159.6	0.7	Clear	Weekday
03-10-2023	R101	Central-Downtown	Bus	Morning Peak	197	186	403.8	0.1	Clear	Weekday
03-10-2023	R102	Suburb Express	Bus	Morning Peak	128	112	276.8	0.5	Clear	Weekday
03-10-2023	R103	University Loop	Bus	Morning Peak	102	87	204.4	0.1	Clear	Weekday
03-10-2023	R104	Airport Shuttle	Bus	Morning Peak	207	189	406	0.1	Clear	Weekday
03-10-2023	R105	Waterfront Line	Bus	Evening Peak	112	98	214.4	0.5	Clear	Weekday
03-10-2023	R106	Night Owl	Metro	Morning Peak	78	67	235.4	0.4	Clear	Weekday
03-10-2023	R107	East-West Connector	Metro	Morning Peak	186	171	543.2	2	Rainy	Weekday
04-10-2023	R101	Central-Downtown	Metro	Morning Peak	181	156	493.1	0.6	Clear	Weekday
04-10-2023	R102	Suburb Express	Bus	Evening Peak	115	99	215	1	Rainy	Weekday
04-10-2023	R103	University Loop	Light Rail	Morning Peak	196	169	531.6	0.1	Cloudy	Weekday
04-10-2023	R104	Airport Shuttle	Metro	Off-Peak	105	99	346.3	1.6	Stormy	Weekday
04-10-2023	R105	Waterfront Line	Light Rail	Morning Peak	143	118	385.9	0.8	Cloudy	Weekday
04-10-2023	R106	Night Owl	Metro	Morning Peak	167	150	511.7	0.1	Clear	Weekday
04-10-2023	R107	East-West Connector	Metro	Morning Peak	224	199	738.5	0	Clear	Weekday
05-10-2023	R101	Central-Downtown	Bus	Morning Peak	80	68	165	0	Clear	Weekday
05-10-2023	R102	Suburb Express	Bus	Morning Peak	155	140	303.4	0.5	Cloudy	Weekday
05-10-2023	R103	University Loop	Metro	Evening Peak	160	150	450.7	0.7	Rainy	Weekday
05-10-2023	R104	Airport Shuttle	Bus	Evening Peak	135	112	292.4	0	Clear	Weekday
05-10-2023	R105	Waterfront Line	Light Rail	Evening Peak	194	182	531.6	0.2	Clear	Weekday
05-10-2023	R106	Night Owl	Bus	Morning Peak	209	190	454.5	1.7	Rainy	Weekday
05-10-2023	R107	East-West Connector	Bus	Evening Peak	105	86	225.8	2.4	Rainy	Weekday
06-10-2023	R101	Central-Downtown	Metro	Morning Peak	167	155	476.6	0.2	Rainy	Weekday
06-10-2023	R102	Suburb Express	Bus	Evening Peak	98	81	203.9	1.1	Cloudy	Weekday
06-10-2023	R103	University Loop	Bus	Morning Peak	221	193	439	0.2	Clear	Weekday
06-10-2023	R104	Airport Shuttle	Metro	Morning Peak	203	188	585	0.2	Clear	Weekday
06-10-2023	R105	Waterfront Line	Light Rail	Morning Peak	106	93	283.1	0.3	Clear	Weekday
06-10-2023	R106	Night Owl	Metro	Morning Peak	102	75	307	0.8	Clear	Weekday
06-10-2023	R107	East-West Connector	Bus	Evening Peak	193	179	361.6	0.3	Clear	Weekday
07-10-2023	R101	Central-Downtown	Metro	Midday	106	95	301.5	0.1	Clear	Weekend
07-10-2023	R102	Suburb Express	Light Rail	Evening	218	204	557.2	0.1	Clear	Weekend
07-10-2023	R103	University Loop	Bus	Evening	200	177	367.3	0.2	Clear	Weekend
07-10-2023	R104	Airport Shuttle	Light Rail	Midday	115	90	305.1	0.3	Clear	Weekend
07-10-2023	R105	Waterfront Line	Metro	Midday	231	220	659.9	1.4	Clear	Weekend
07-10-2023	R106	Night Owl	Metro	Evening	81	56	249.9	0.4	Clear	Weekend
07-10-2023	R107	East-West Connector	Light Rail	Evening	192	182	476	1.4	Clear	Weekend
08-10-2023	R101	Central-Downtown	Bus	Evening	187	165	352.7	0	Clear	Weekend
08-10-2023	R102	Suburb Express	Metro	Midday	102	83	276.8	0.2	Cloudy	Weekend
08-10-2023	R103	University Loop	Bus	Evening	151	138	282.5	0.8	Cloudy	Weekend
08-10-2023	R104	Airport Shuttle	Light Rail	Midday	128	114	303.3	2.7	Rainy	Weekend
08-10-2023	R105	Waterfront Line	Bus	Midday	201	176	393.1	0.1	Clear	Weekend
08-10-2023	R106	Night Owl	Bus	Evening	107	89	206.3	6	Stormy	Weekend
08-10-2023	R107	East-West Connector	Metro	Evening	230	209	666.4	2.8	Rainy	Weekend
09-10-2023	R101	Central-Downtown	Metro	Evening Peak	205	189	676	0.7	Clear	Weekday
09-10-2023	R102	Suburb Express	Metro	Evening Peak	85	64	273.7	0.3	Cloudy	Weekday
09-10-2023	R103	University Loop	Bus	Morning Peak	113	99	226.6	0.4	Clear	Weekday
09-10-2023	R104	Airport Shuttle	Light Rail	Off-Peak	52	39	132.4	0.6	Clear	Weekday
09-10-2023	R105	Waterfront Line	Bus	Morning Peak	162	143	350.3	0.3	Clear	Weekday
09-10-2023	R106	Night Owl	Bus	Evening Peak	193	176	356.5	2.7	Rainy	Weekday
09-10-2023	R107	East-West Connector	Metro	Off-Peak	108	95	347.9	1.7	Clear	Weekday
10-10-2023	R101	Central-Downtown	Bus	Off-Peak	104	95	189	1.3	Foggy	Weekday
10-10-2023	R102	Suburb Express	Bus	Evening Peak	189	165	387.8	1.2	Rainy	Weekday
10-10-2023	R103	University Loop	Metro	Evening Peak	112	92	321.3	4.4	Stormy	Weekday
10-10-2023	R104	Airport Shuttle	Bus	Evening Peak	101	88	200.5	0.4	Clear	Weekday
10-10-2023	R105	Waterfront Line	Bus	Off-Peak	109	96	209.7	0.6	Cloudy	Weekday
10-10-2023	R106	Night Owl	Bus	Off-Peak	52	45	108.7	1.1	Rainy	Weekday
10-10-2023	R107	East-West Connector	Light Rail	Off-Peak	34	24	90.3	0.3	Stormy	Weekday
11-10-2023	R101	Central-Downtown	Metro	Morning Peak	202	176	647	0.3	Clear	Weekday
11-10-2023	R102	Suburb Express	Bus	Morning Peak	97	71	195.3	4.9	Rainy	Weekday
11-10-2023	R103	University Loop	Metro	Evening Peak	112	89	316.2	0.2	Clear	Weekday
11-10-2023	R104	Airport Shuttle	Bus	Off-Peak	62	50	112.2	0.3	Clear	Weekday
11-10-2023	R105	Waterfront Line	Light Rail	Morning Peak	231	217	530	0.4	Cloudy	Weekday
11-10-2023	R106	Night Owl	Bus	Evening Peak	87	67	164	0	Clear	Weekday
11-10-2023	R107	East-West Connector	Bus	Evening Peak	132	104	285.3	0.4	Clear	Weekday
12-10-2023	R101	Central-Downtown	Metro	Morning Peak	176	162	559.3	0.9	Clear	Weekday
12-10-2023	R102	Suburb Express	Metro	Morning Peak	229	214	686	0.5	Clear	Weekday
12-10-2023	R103	University Loop	Bus	Morning Peak	119	99	220.8	0.4	Rainy	Weekday
12-10-2023	R104	Airport Shuttle	Bus	Off-Peak	113	99	213.5	0.2	Cloudy	Weekday
12-10-2023	R105	Waterfront Line	Bus	Morning Peak	198	184	392.9	0.2	Clear	Weekday
12-10-2023	R106	Night Owl	Metro	Evening Peak	156	132	469.1	0.2	Clear	Weekday
12-10-2023	R107	East-West Connector	Bus	Off-Peak	53	46	99.3	0.2	Clear	Weekday
13-10-2023	R101	Central-Downtown	Bus	Evening Peak	106	83	197.1	0.6	Clear	Weekday
13-10-2023	R102	Suburb Express	Light Rail	Evening Peak	131	119	320.8	0.7	Clear	Weekday
13-10-2023	R103	University Loop	Bus	Evening Peak	130	109	246.1	0.3	Clear	Weekday
13-10-2023	R104	Airport Shuttle	Bus	Evening Peak	140	127	282.1	0.7	Clear	Weekday
13-10-2023	R105	Waterfront Line	Bus	Morning Peak	176	161	380.1	0.6	Rainy	Weekday
13-10-2023	R106	Night Owl	Bus	Morning Peak	145	130	282.2	1	Clear	Weekday
13-10-2023	R107	East-West Connector	Bus	Off-Peak	61	50	111.1	0.6	Clear	Weekday
14-10-2023	R101	Central-Downtown	Light Rail	Evening	80	65	219	0.6	Clear	Weekend
14-10-2023	R102	Suburb Express	Light Rail	Evening	99	71	264.3	1.7	Clear	Weekend
14-10-2023	R103	University Loop	Metro	Midday	146	125	404.3	0.7	Rainy	Weekend
14-10-2023	R104	Airport Shuttle	Metro	Midday	96	81	278.6	0	Clear	Weekend
14-10-2023	R105	Waterfront Line	Light Rail	Midday	81	71	187.9	0.1	Clear	Weekend
14-10-2023	R106	Night Owl	Bus	Evening	157	131	336	1.1	Rainy	Weekend
14-10-2023	R107	East-West Connector	Light Rail	Evening	137	125	312.8	1.7	Rainy	Weekend
15-10-2023	R101	Central-Downtown	Light Rail	Midday	115	103	268.2	0.5	Cloudy	Weekend
15-10-2023	R102	Suburb Express	Metro	Midday	166	139	529.5	0.2	Clear	Weekend
15-10-2023	R103	University Loop	Bus	Midday	118	108	223.4	0.2	Cloudy	Weekend
15-10-2023	R104	Airport Shuttle	Metro	Evening	198	170	585.9	0.7	Clear	Weekend
15-10-2023	R105	Waterfront Line	Metro	Midday	148	119	465.4	3	Clear	Weekend
15-10-2023	R106	Night Owl	Metro	Evening	144	131	438	1	Cloudy	Weekend
15-10-2023	R107	East-West Connector	Bus	Evening	166	153	329.1	1.4	Rainy	Weekend
16-10-2023	R101	Central-Downtown	Metro	Evening Peak	205	183	642.1	2.4	Rainy	Weekday
16-10-2023	R102	Suburb Express	Metro	Morning Peak	215	195	704.2	0.1	Clear	Weekday
16-10-2023	R103	University Loop	Bus	Morning Peak	107	85	198.6	0.1	Clear	Weekday
16-10-2023	R104	Airport Shuttle	Metro	Evening Peak	198	184	618.6	0.4	Clear	Weekday
16-10-2023	R105	Waterfront Line	Metro	Evening Peak	129	112	413.4	0.1	Foggy	Weekday
16-10-2023	R106	Night Owl	Bus	Morning Peak	152	142	326.5	0.4	Clear	Weekday
16-10-2023	R107	East-West Connector	Bus	Morning Peak	85	56	179.8	0.2	Rainy	Weekday
17-10-2023	R101	Central-Downtown	Bus	Off-Peak	68	57	131.8	1.2	Rainy	Weekday
17-10-2023	R102	Suburb Express	Bus	Evening Peak	183	167	341.5	0.2	Clear	Weekday
17-10-2023	R103	University Loop	Metro	Morning Peak	137	110	424.4	1.6	Clear	Weekday
17-10-2023	R104	Airport Shuttle	Bus	Evening Peak	223	197	428.1	0.3	Clear	Weekday
17-10-2023	R105	Waterfront Line	Bus	Evening Peak	213	187	386.5	0.4	Clear	Weekday
17-10-2023	R106	Night Owl	Bus	Evening Peak	201	190	404.8	0.3	Clear	Weekday
17-10-2023	R107	East-West Connector	Metro	Morning Peak	102	86	321.5	1.1	Clear	Weekday
18-10-2023	R101	Central-Downtown	Metro	Off-Peak	101	90	312.6	0.1	Clear	Weekday
18-10-2023	R102	Suburb Express	Bus	Evening Peak	212	198	396.7	0.5	Rainy	Weekday
18-10-2023	R103	University Loop	Bus	Morning Peak	167	147	364.9	0.1	Foggy	Weekday
18-10-2023	R104	Airport Shuttle	Bus	Morning Peak	81	65	169.6	0.1	Cloudy	Weekday
18-10-2023	R105	Waterfront Line	Light Rail	Evening Peak	62	38	158.9	0.9	Clear	Weekday
18-10-2023	R106	Night Owl	Bus	Morning Peak	102	88	200.3	0.3	Clear	Weekday
18-10-2023	R107	East-West Connector	Bus	Off-Peak	69	55	139.8	1.3	Stormy	Weekday
19-10-2023	R101	Central-Downtown	Bus	Evening Peak	94	77	195.5	0.1	Clear	Weekday
19-10-2023	R102	Suburb Express	Metro	Evening Peak	138	116	429.8	3.5	Rainy	Weekday
19-10-2023	R103	University Loop	Metro	Off-Peak	75	69	227.4	3.5	Rainy	Weekday
19-10-2023	R104	Airport Shuttle	Bus	Morning Peak	142	127	297.2	0.5	Clear	Weekday
19-10-2023	R105	Waterfront Line	Bus	Evening Peak	117	94	212.8	0.7	Clear	Weekday
19-10-2023	R106	Night Owl	Bus	Evening Peak	138	118	264.3	0.6	Clear	Weekday
19-10-2023	R107	East-West Connector	Bus	Evening Peak	214	200	426.6	0.4	Clear	Weekday
20-10-2023	R101	Central-Downtown	Bus	Off-Peak	103	97	211.1	0.2	Clear	Weekday
20-10-2023	R102	Suburb Express	Bus	Evening Peak	222	205	438.2	0.9	Clear	Weekday
20-10-2023	R103	University Loop	Metro	Evening Peak	100	86	275.5	0.1	Foggy	Weekday
20-10-2023	R104	Airport Shuttle	Light Rail	Evening Peak	163	138	437.9	3.3	Rainy	Weekday
20-10-2023	R105	Waterfront Line	Metro	Evening Peak	205	178	613.7	2.2	Clear	Weekday
20-10-2023	R106	Night Owl	Light Rail	Morning Peak	93	77	255.7	0.3	Clear	Weekday
20-10-2023	R107	East-West Connector	Bus	Morning Peak	80	52	173.6	5.8	Stormy	Weekday
21-10-2023	R101	Central-Downtown	Bus	Evening	170	143	341.5	2.1	Rainy	Weekend
21-10-2023	R102	Suburb Express	Bus	Evening	181	169	376.2	0.6	Clear	Weekend
21-10-2023	R103	University Loop	Bus	Midday	94	72	192.7	0.5	Cloudy	Weekend
21-10-2023	R104	Airport Shuttle	Bus	Midday	175	153	352	0.8	Foggy	Weekend
21-10-2023	R105	Waterfront Line	Light Rail	Midday	230	209	589.7	2.1	Cloudy	Weekend
21-10-2023	R106	Night Owl	Metro	Midday	68	42	188.1	0.2	Clear	Weekend
21-10-2023	R107	East-West Connector	Bus	Midday	155	145	335.4	0.1	Clear	Weekend
22-10-2023	R101	Central-Downtown	Bus	Midday	212	198	389.2	1.1	Clear	Weekend
22-10-2023	R102	Suburb Express	Light Rail	Midday	114	85	260.2	0.9	Clear	Weekend
22-10-2023	R103	University Loop	Bus	Evening	197	179	369.3	0.2	Cloudy	Weekend
22-10-2023	R104	Airport Shuttle	Bus	Evening	164	152	334.4	0.2	Clear	Weekend
22-10-2023	R105	Waterfront Line	Metro	Midday	115	103	366.8	0.1	Clear	Weekend
22-10-2023	R106	Night Owl	Metro	Evening	122	111	362.9	0.2	Clear	Weekend
